score,label
0.0013039910700172186,0
0.0009345808066427708,0
0.001121467910706997,0
0.0017874324694275856,0
0.0011784040834754705,0
0.0020828351844102144,0
0.001834146911278367,0
0.0017368471017107368,0
0.0015865899622440338,0
0.001420069020241499,0
0.001592723885551095,0
0.00164757389575243,0
0.0016309198690578341,0
0.0016558626666665077,0
0.0018206583335995674,0
0.0015789123717695475,0
0.002217083005234599,0
0.002149743726477027,0
0.0017305188812315464,0
0.0014685094356536865,0
0.0012572647538036108,0
0.002051540417596698,0
0.0018480855505913496,0
0.0019956021569669247,0
0.0021431948989629745,0
0.0018808956956490874,0
0.0015864188317209482,0
0.0018840820994228125,0
0.0016419158782809973,0
0.0015260973013937473,0
0.0015993425622582436,0
0.0020274973940104246,0
0.0019316076068207622,0
0.001890472020022571,0
0.0016725622117519379,0
0.0014838750939816236,0
0.0010273142252117395,1
0.0009658904746174812,1
0.0008901552064344287,1
0.0009377743117511272,1
0.0010084172245115042,1
0.000977142946794629,1
0.0009455503313802183,1
0.001321688643656671,1
0.0018458714475855231,1
0.001822788966819644,1
